v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted
,Activity Event – Draft – Duplication operation allowed,"AC 02.5 — CRUD Testing — A Draft Activity Event can be duplicated.","- Admin user logged in to Salesforce
- A Draft Activity Event already exists",,,medium,normal,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open the Draft Activity Event record""
2. ""Click 'Clone' or 'Duplicate' action""
3. ""Observe the pre-filled creation form""
4. ""Click 'Save' on the duplicated record""
5. ""Open the newly created record""
","1. ""Activity Event detail page opens with Status = Draft""
2. ""A new Activity Event creation form opens with pre-filled data""
3. ""Fields are copied from the original Draft event""
4. ""New event is saved without errors""
5. ""A new Activity Event record exists with the copied data""
","1. """"
2. """"
3. """"
4. """"
5. """"
",,,2518,19,US02: Draft Event Operations,,,
,,,,,,,,,,,,,,,,,,,,2519,19,US03: Status Transitions,1,,
,Activity Event – Status Transition – Draft to Published allowed,"AC 03.1 — State Transition Testing — A Draft Activity Event can be transitioned to Published status via the status path bar.","- Admin user logged in to Salesforce
- A Draft Activity Event already exists",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open the Draft Activity Event record""
2. ""Observe the status path bar (Draft → Published → Completed → Cancelled)""
3. ""Click 'Published' in the status path bar""
4. ""Click 'Mark as Current Event Status' confirm button""
5. ""Observe the updated status""
","1. ""Activity Event detail page opens with Draft as active stage in path bar""
2. ""Status path bar shows all 4 stages: Draft, Published, Completed, Cancelled""
3. ""Published stage is selected in the path bar""
4. ""Transition is confirmed""
5. ""Published is now the active stage; success toast appears""
","1. """"
2. """"
3. """"
4. """"
5. """"
",,,2519,19,US03: Status Transitions,,,
,Activity Event – Status Transition – Draft to Completed blocked with EN error,"AC 03.2 — Negative Testing — Attempting to transition a Draft event to Completed via the status path bar is blocked with an English error message.","- Admin user logged in to Salesforce (EN locale)
- A Draft Activity Event already exists",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open the Draft Activity Event record""
2. ""Observe the status path bar (Draft → Published → Completed → Cancelled)""
3. ""Click 'Completed' in the status path bar""
4. ""Click 'Mark as Current Event Status' confirm button""
5. ""Observe the error message""
","1. ""Activity Event detail page opens with Draft as active stage""
2. ""All 4 stages visible in path bar including Completed""
3. ""Completed stage is selected in the path bar""
4. ""Transition is attempted""
5. ""Error message displayed: 'You cannot mark a Draft event to Complete. Please Publish first. You cannot complete future event'""
","1. """"
2. """"
3. """"
4. """"
5. """"
",,,2519,19,US03: Status Transitions,,,
,Activity Event – Status Transition – Draft to Completed blocked with JP error,"AC 03.2 — Negative Testing — Attempting to transition a Draft event to Completed via the status path bar is blocked with a Japanese error message. Requires SF user language set to Japanese.","- Admin user logged in to Salesforce
- SF user language set to Japanese (日本語) via Settings → Language & Time Zone
- A Draft Activity Event already exists",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Change SF user language to Japanese: avatar → Settings → Language & Time Zone → Language = Japanese → Save""
2. ""Open the Draft Activity Event record""
3. ""Observe the status path bar in Japanese (下書き → 公開済 → 完了済 → キャンセル済)""
4. ""Click '完了済' in the status path bar""
5. ""Click '現在のイベントステータスとしてマーク' confirm button""
6. ""Observe the error message""
","1. ""SF UI language switches to Japanese""
2. ""Activity Event detail page opens with 下書き as active stage""
3. ""Path bar shows all 4 stages in Japanese""
4. ""完了済 stage is selected in the path bar""
5. ""Transition is attempted""
6. ""Error message displayed: '下書きのイベントを完了にすることはできません。イベントを公開してください。未来のイベントは完了できません'""
","1. """"
2. """"
3. """"
4. """"
5. """"
6. """"
",,,2519,19,US03: Status Transitions,,,
,Activity Event – Status Transition – Draft to Cancel allowed,"AC 03.3 — State Transition Testing — A Draft Activity Event can be transitioned to Cancelled status via the status path bar. After cancellation the edit form confirms Draft is no longer checked.","- Admin user logged in to Salesforce
- A Draft Activity Event already exists",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open the Draft Activity Event record""
2. ""Observe the status path bar (Draft → Published → Completed → Cancelled)""
3. ""Click 'Cancelled' in the status path bar""
4. ""Click 'Mark as Current Event Status' confirm button""
5. ""Observe the updated status in the path bar""
6. ""Click 'Edit' to open the edit form""
7. ""Observe the Activity Event Status radiogroup""
","1. ""Activity Event detail page opens with Draft as active stage in path bar""
2. ""All 4 stages visible in path bar""
3. ""Cancelled stage is selected in the path bar""
4. ""Transition is confirmed""
5. ""Cancelled is now the active stage; success toast appears""
6. ""Edit form opens""
7. ""Draft radio button is NOT checked in the Status radiogroup""
","1. """"
2. """"
3. """"
4. """"
5. """"
6. """"
7. """"
",,,2519,19,US03: Status Transitions,,,
5. ""Activity Event detail page shows Status = Cancelled""
","1. """"
2. """"
3. ""Status = Cancelled""
4. """"
5. """"
",,,2519,19,US03: Status Transitions,,,
,Activity Event – Status Transition – Published to Draft allowed (status path bar and edit form),"AC 03.1 — State Transition Testing — A Published Activity Event can be reverted back to Draft status using either the status path bar or the Edit form Status radiogroup.","- Admin user logged in to Salesforce
- An Activity Event exists in Published status (previously transitioned from Draft)",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open a Published Activity Event record""
2. ""Method 1 — Path bar: Click 'Draft' in the status path bar""
3. ""Click 'Mark as Current Event Status' confirm button""
4. ""Verify Draft is the active stage in the path bar""
5. ""Transition event back to Published""
6. ""Method 2 — Edit form: Click 'Edit' to open the edit form""
7. ""Select 'Draft' in the Activity Event Status radiogroup""
8. ""Click Save""
9. ""Verify Draft is the active stage in the path bar""
","1. ""Activity Event detail page opens with Published as the active stage""
2. ""Draft is visible in the path bar; clicking it selects it""
3. ""Transition is confirmed""
4. ""Draft is now the active stage in the path bar""
5. ""Event returns to Published status""
6. ""Edit form opens""
7. ""Draft radio button is checked""
8. ""Changes saved without errors""
9. ""Draft is now the active stage in the path bar""
","1. """"
2. """"
3. """"
4. """"
5. """"
6. """"
7. """"
8. """"
9. """"
",,,2519,19,US03: Status Transitions,,,
,,,,,,,,,,,,,,,,,,,,2520,19,US04: Learner App Visibility,1,,
,Activity Event – Draft – Not displayed in Learner app Calendar,"AC 04.1 — Regression Analysis — A Draft Activity Event does not appear on the Learner app Calendar.","- A Draft Activity Event exists with a scheduled date
- A student is assigned as a participant to the Draft event
- Student credentials available for Learner app",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Create a Draft Activity Event with a scheduled date and assign a student participant""
2. ""Log in to the Learner app as the assigned student""
3. ""Navigate to the Calendar view""
4. ""Browse to the date of the Draft event""
5. ""Search for the Draft event name""
","1. ""Draft Activity Event created with participant""
2. ""Learner app dashboard loads""
3. ""Calendar view is displayed""
4. ""Calendar shows the scheduled date""
5. ""The Draft event does NOT appear on the Calendar""
","1. """"
2. """"
3. """"
4. """"
5. """"
",,,2520,19,US04: Learner App Visibility,,,
,Activity Event – Draft – Not displayed in Learner app Booking system,"AC 04.2 — Regression Analysis — A Draft Activity Event does not appear in the Learner app Booking system.","- A Draft Activity Event exists linked to an Event Master with booking enabled
- Student credentials available for Learner app",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Create a Draft Activity Event linked to a bookable Event Master""
2. ""Log in to the Learner app as a student""
3. ""Navigate to the Booking section""
4. ""Browse available events for the relevant date/location""
5. ""Search for the Draft event name""
","1. ""Draft Activity Event created under a bookable Event Master""
2. ""Learner app dashboard loads""
3. ""Booking section is displayed""
4. ""Available events are listed""
5. ""The Draft event does NOT appear in the booking list""
","1. """"
2. """"
3. """"
4. """"
5. """"
",,,2520,19,US04: Learner App Visibility,,,
,Activity Event – Published – Displayed in Learner app Calendar after Draft to Published transition,"AC 04.1 + AC 03.1 — Regression Analysis — After transitioning from Draft to Published the event appears in the Learner app Calendar.","- A Draft Activity Event exists with a scheduled date and a student participant
- Student credentials available for Learner app",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Confirm the Draft event does NOT appear in Learner app Calendar""
2. ""In Salesforce change the event Status from Draft to Published and save""
3. ""Log in to the Learner app as the assigned student""
4. ""Navigate to the Calendar view and browse to the event date""
","1. ""Draft event is hidden from Learner app""
2. ""Event Status is now Published""
3. ""Learner app dashboard loads""
4. ""The event now appears on the Learner app Calendar""
","1. """"
2. """"
3. """"
4. """"
",,,2520,19,US04: Learner App Visibility,,,
,,,,,,,,,,,,,,,,,,,,2521,19,US05: Flag Control,1,,
,Activity Event – Flag ON – Draft option available in Status picklist,"AC 05.1 — Decision Table — When the feature flag is enabled the Draft option appears in the Activity Event Status picklist.","- Admin user logged in to Salesforce
- Feature flag for Draft Status is ON",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Confirm the feature flag is enabled""
2. ""Navigate to Activity Event creation form""
3. ""Open the Status picklist dropdown""
4. ""Inspect the available options""
","1. ""Feature flag is ON""
2. ""Activity Event creation form loads""
3. ""Status picklist dropdown opens""
4. ""'Draft' is listed as an available option""
","1. """"
2. """"
3. """"
4. """"
",,,2521,19,US05: Flag Control,,,
,Activity Event – Flag OFF – Draft option hidden from Status picklist,"AC 05.1 — Decision Table — When the feature flag is disabled the Draft option does not appear in the Activity Event Status picklist.","- Admin user logged in to Salesforce
- Feature flag for Draft Status is OFF",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Confirm the feature flag is disabled""
2. ""Navigate to Activity Event creation form""
3. ""Open the Status picklist dropdown""
4. ""Inspect the available options""
","1. ""Feature flag is OFF""
2. ""Activity Event creation form loads""
3. ""Status picklist dropdown opens""
4. ""'Draft' is NOT listed as an available option""
","1. """"
2. """"
3. """"
4. """"
",,,2521,19,US05: Flag Control,,,
