v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted,cf_2,cf_3
,Cancel Booked Event – Notification Settings – Cancel Notification set but cancellation settings not configured,"AC 01.4 - Decision Table: No notification triggered when Cancel Notification is set but cancellation settings are not configured (Cancel button not visible).","Master Event has:
- Response Notification = Cancel
- Cancellation Type = Do not allow (or Allow Cancellation unchecked)",,,medium,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open booked event detail""
3. ""Confirm Cancel Reservation button is not visible""
","1. ""App loads""
2. ""Event detail displayed""
3. ""Cancel Reservation button is NOT visible; No notification can be triggered""
","1. """"
2. """"
3. ""Response Notification = Cancel, Cancel Type = Do not allow""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Notification Settings – Tooltip displayed for Response Notification,"AC 01.4 - Equivalence Partitioning: Tooltip displays correct message for Response Notification field.","Admin has access to Master Event settings",,,low,minor,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings""
2. ""Hover over Response Notification tooltip""
","1. ""Settings page loads""
2. ""Tooltip displays: Send a Salesforce notification when the mobile app user submits a response.""
","1. """"
2. """"
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Booking Info – Booking Start Date before current date disables Reserve button,"AC 01.5 - BVA: When current date < booking start date, Reserve button is disabled and message is shown.","Master Event has:
- Booking Start Date = 2026-04-15
- Current Date = 2026-04-10",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app""
2. ""Navigate to the event""
3. ""Check Reserve button state""
4. ""Check displayed message""
","1. ""App loads""
2. ""Event detail displayed""
3. ""Reserve button is disabled""
4. ""Message: This event will be available for booking from 2026-04-15""
","1. """"
2. ""Booking Start Date = 2026-04-15""
3. ""Current Date = 2026-04-10""
4. """"
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Event Master View – New sections and fields reflected,"AC 01.6 - Equivalence Partitioning: Event Master View displays Cancellation Settings, Reminders & Notifications, and Booking Settings sections.","Admin has access to Event Master View",,,medium,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Event Master View""
2. ""Check for Cancellation Settings section""
3. ""Check for Reminders & Notifications section""
4. ""Check for Booking Settings section""
","1. ""Event Master View loads""
2. ""Cancellation Settings section is displayed""
3. ""Reminders & Notifications section is displayed""
4. ""Booking Settings section is displayed""
","1. """"
2. """"
3. """"
4. """"
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,,,,,,,,,,,,,,,,,,,,2446,,US02 - Display Cancel Reservation Action,1,,,,
,Cancel Booked Event – Cancel Button – Eligible booked participant sees enabled button,"AC 02.1 - Decision Table: Cancel Reservation button is visible and enabled for eligible booked participant.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Booked__c = true
- Cancellation Deadline not expired
- Event Date is in the future
Student booked via booking system
Response Status = Attend",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open booked event detail""
3. ""Check Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is visible and enabled""
","1. """"
2. """"
3. ""Participant Source = Booked, Allow_Cancel_Booked__c = true""
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Eligible direct participant sees enabled button,"AC 02.1 - Decision Table: Cancel Reservation button visible and enabled for eligible directly added participant.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Direct__c = true
- Cancellation Deadline not expired
- Event Date is in the future
Participant added manually in SF
Response Status = Attend",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as participant""
2. ""Open the event detail""
3. ""Check Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is visible and enabled""
","1. """"
2. """"
3. ""Participant Source = Direct, Allow_Cancel_Direct__c = true""
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Deadline is 0 hides Cancellation Deadline section,"AC 02.1 - Equivalence Partitioning: When cancellation deadline is empty or 0 and user is eligible, Cancellation Deadline section is hidden.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Booked__c = true
- Cancellation Deadline = 0
Student booked via booking system",,,medium,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open booked event detail""
3. ""Check for Cancellation Deadline section""
","1. ""App loads""
2. ""Event detail screen displayed""
3. ""Cancellation Deadline section is hidden""
","1. """"
2. """"
3. ""Cancellation Deadline = 0""
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Disabled when deadline expired,"AC 02.2 - BVA: Cancel Reservation button is disabled when cancellation deadline has expired.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Booked__c = true
- Cancellation Deadline = 24 hours
- Event Date = 2026-04-01 08:00
- Current Time = 2026-03-31 09:00 (after cutoff 2026-03-31 08:00)
Student booked via booking system",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open booked event detail""
3. ""Check Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is disabled""
","1. """"
2. ""Cancellation Deadline = 24 hours, Event = 2026-04-01 08:00""
3. ""Current Time = 2026-03-31 09:00, Cutoff = 2026-03-31 08:00""
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Disabled when event is in the past,"AC 02.2 - BVA: Cancel Reservation button is disabled when event is in the past.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Booked__c = true
- Event Date = 2026-03-10 08:00 (past)
- Current Date = 2026-03-16
Student booked via booking system",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open the past event detail""
3. ""Check Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is disabled""
","1. """"
2. ""Event Date = 2026-03-10 (past)""
3. ""Current Date = 2026-03-16""
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Hidden when participant not allowed to cancel,"AC 02.3 - Decision Table: Cancel Reservation button hidden when participant source does not match allowed cancellation settings.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Direct__c = false
- Allow_Cancel_Booked__c = false
Student booked via booking system",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open booked event detail""
3. ""Check for Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is NOT visible (hidden)""
","1. """"
2. """"
3. ""Allow_Cancel_Direct__c = false, Allow_Cancel_Booked__c = false""
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Hidden for direct participant when only booking cancellation allowed,"AC 02.3 - Decision Table: Direct participant cannot cancel when only Allow_Cancel_Booked__c = true.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Direct__c = false
- Allow_Cancel_Booked__c = true
Participant added manually in SF (Direct)",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as direct participant""
2. ""Open the event detail""
3. ""Check for Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is NOT visible (hidden)""
","1. """"
2. """"
3. ""Participant Source = Direct, Allow_Cancel_Direct__c = false""
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Not shown for already Canceled participant,"AC 02.1 - State Transition: Cancel button not shown when Response Status is already Canceled.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Booked__c = true
Student has Response Status = Canceled",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open the event detail""
3. ""Check for Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed with Canceled status""
3. ""Cancel Reservation button is NOT visible""
","1. """"
2. ""Response Status = Canceled""
3. """"
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Not shown for Cancel Requested participant,"AC 02.1 - State Transition: Cancel button not shown when Response Status is already Cancel Requested.","Master Event has:
- Cancel Type = Cancel Request
- Allow_Cancel_Booked__c = true
Student has Response Status = Cancel Requested",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open the event detail""
3. ""Check for Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed with Cancel Requested status""
3. ""Cancel Reservation button is NOT visible""
","1. """"
2. ""Response Status = Cancel Requested""
3. """"
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,,,,,,,,,,,,,,,,,,,,2446,,US03 - Cancel Event Booking (Cancel Now),1,,,,
,Cancel Booked Event – Cancel Now – Confirmation modal displayed with correct content,"AC 03.1 - Equivalence Partitioning: Cancel Reservation modal displays event info and required fields.","Master Event has Cancel Type = Cancel
Student has booked the event
Cancel Reservation button is enabled",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open booked event detail""
3. ""Tap Cancel Reservation button""
4. ""Check modal content""
","1. ""App loads""
2. ""Event detail displayed""
3. ""Cancel Reservation modal opens""
4. ""Modal contains: confirmation message, Event Activity name, date/time, Cancellation Reason field, Cancellation Deadline Date""
","1. """"
2. """"
3. """"
4. ""EN: Are you sure you want to cancel your reservation to this event?""
",,,2446,,US03 - Cancel Event Booking (Cancel Now),,,,,
,Cancel Booked Event – Cancel Now – Confirm button disabled until reason selected,"AC 03.2 - Equivalence Partitioning: Confirm Cancellation button disabled until a cancellation reason is selected.","Cancel Reservation modal is displayed",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Cancel Reservation modal""
2. ""Check Confirm Cancellation button state without selecting reason""
3. ""Select a cancellation reason (e.g. Schedule conflict)""
4. ""Check Confirm Cancellation button state""
","1. ""Modal displayed""
2. ""Confirm Cancellation button is disabled""
3. ""Reason selected""
4. ""Confirm Cancellation button is enabled""
","1. """"
2. """"
3. ""Cancellation Reason = Schedule conflict""
4. """"
",,,2446,,US03 - Cancel Event Booking (Cancel Now),,,,,
,Cancel Booked Event – Cancel Now – All cancellation reason options available,"AC 03.2 - Equivalence Partitioning: All 8 predefined cancellation reason options displayed.","Cancel Reservation modal is displayed",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Cancel Reservation modal""
2. ""Open Cancellation Reason dropdown""
3. ""List all available options""
","1. ""Modal displayed""
2. ""Dropdown opens""
3. ""Options: Schedule conflict, Not feeling well / Health reason, School event / Exam, Family reason, Transportation issue, Forgot / Mistaken booking, No longer interested, Other""
","1. """"
2. """"
3. ""8 predefined options""
",,,2446,,US03 - Cancel Event Booking (Cancel Now),,,,,
,Cancel Booked Event – Cancel Now – Other reason requires detail input,"AC 03.3 - Decision Table: Confirm button remains disabled when Other is selected but detail is empty.","Cancel Reservation modal is displayed",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Cancel Reservation modal""
2. ""Select Other as cancellation reason""
3. ""Leave Cancellation Reason Detail field empty""
4. ""Check Confirm Cancellation button state""
5. ""Enter reason detail text""
6. ""Check Confirm Cancellation button state""
","1. ""Modal displayed""
2. ""Other selected""
3. ""Detail field is empty""
4. ""Confirm Cancellation button is disabled""
5. ""Detail field populated""
6. ""Confirm Cancellation button is enabled""
","1. """"
2. ""Cancellation Reason = Other""
3. """"
4. """"
5. ""Detail = I will take this in another location.""
6. """"
",,,2446,,US03 - Cancel Event Booking (Cancel Now),,,,,
,Cancel Booked Event – Cancel Now – Execute immediate cancellation with reason,"AC 03.4 - State Transition: System updates Response Status to Canceled and removes participant on Cancel Now.","Master Event has Cancel Type = Cancel
Cancel Reservation modal displayed
Cancellation Reason = Schedule conflict",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Select cancellation reason: Schedule conflict""
2. ""Tap Confirm Cancellation""
3. ""Check success message""
4. ""Check calendar screen""
5. ""Check participant list in SF""
","1. ""Reason selected""
2. ""Cancellation processed""
3. ""Message: Your reservation to this event is cancelled""
4. ""Event card shows Canceled status on calendar""
5. ""Participant removed from participant list; Event capacity updated""
","1. ""Cancellation Reason = Schedule conflict""
2. """"
3. ""EN message""
4. """"
5. """"
",,,2446,,US03 - Cancel Event Booking (Cancel Now),,,,,
,Cancel Booked Event – Cancel Now – Execute with Other reason and detail saves correctly,"AC 03.4 - State Transition: Cancellation Reason Detail saved and appended with prefix when Other is selected.","Master Event has Cancel Type = Cancel
Cancel Reservation modal displayed",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Select Other as cancellation reason""
2. ""Enter reason detail: I will take this in another location.""
3. ""Tap Confirm Cancellation""
4. ""Check participant record in SF""
","1. ""Other selected""
2. ""Detail entered""
3. ""Cancellation processed, success message displayed""
4. ""Cancellation Reason = Other, Cancellation Reason Detail = Cancel Reason: I will take this in another location.""
","1. ""Cancellation Reason = Other""
2. ""Detail = I will take this in another location.""
3. """"
4. """"
",,,2446,,US03 - Cancel Event Booking (Cancel Now),,,,,
