v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted
,Extend Recurrence End Date to a later date - accepted,AC 01.2 / AC 01.3 - BVA: Verify user can extend End Date to 1 day after current and to far future.,"Admin has created a recurring lesson schedule by End Date
- Current Recurrence End Date = 2026-03-31",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Set Recurrence End Date = 2026-04-01 (1 day after current)""
3. ""Save the form""
4. ""Repeat: Set Recurrence End Date = 2026-12-31 (far future)""
5. ""Save the form""
","1. ""Lesson Creation Form opens, Recurrence End Date = 2026-03-31""
2. ""Date accepted by the system""
3. ""New lessons are created successfully""
4. ""Date accepted by the system""
5. ""New lessons are created successfully""
","1. ""Current End Date = 2026-03-31""
2. ""BVA: Boundary + 1 day""
3. """"
4. ""BVA: Far future value""
5. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Reject Recurrence End Date equal to or earlier than current,AC 01.2 / AC 01.3 - BVA + Negative Testing: System must reject same date and earlier date.,"Admin has created a recurring lesson schedule by End Date
- Current Recurrence End Date = 2026-03-31",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Set Recurrence End Date = 2026-03-31 (same as current)""
3. ""Attempt to save""
4. ""Set Recurrence End Date = 2026-03-15 (earlier than current)""
5. ""Attempt to save""
","1. ""Lesson Creation Form opens, Recurrence End Date = 2026-03-31""
2. ""System does not allow or shows validation error""
3. ""Save is rejected / blocked""
4. ""System does not allow or shows validation error""
5. ""Save is rejected / blocked""
","1. ""Current End Date = 2026-03-31""
2. ""BVA: Exact boundary (same date)""
3. """"
4. ""BVA: Below boundary (earlier date)""
5. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Increase Lesson Count above current value - accepted,AC 01.2 / AC 01.3 - BVA: Verify user can increase Lesson Count by 1 and by a large amount.,"Admin has created a recurring lesson schedule by Lesson Count
- Current Lesson Count = 10",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Set Lesson Count = 11 (current + 1)""
3. ""Save the form""
4. ""Repeat: Set Lesson Count = 50 (large increase)""
5. ""Save the form""
","1. ""Lesson Creation Form opens, Lesson Count = 10""
2. ""Value accepted by the system""
3. ""New lessons are created successfully""
4. ""Value accepted by the system""
5. ""New lessons are created successfully""
","1. ""Current Lesson Count = 10""
2. ""BVA: Boundary + 1""
3. """"
4. ""BVA: Large increase""
5. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Reject Lesson Count equal to or less than current,AC 01.2 / AC 01.3 - BVA + Negative Testing: System must reject same count and lower count.,"Admin has created a recurring lesson schedule by Lesson Count
- Current Lesson Count = 10",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Set Lesson Count = 10 (same as current)""
3. ""Attempt to save""
4. ""Set Lesson Count = 5 (less than current)""
5. ""Attempt to save""
","1. ""Lesson Creation Form opens, Lesson Count = 10""
2. ""System does not allow or shows validation error""
3. ""Save is rejected / blocked""
4. ""System does not allow or shows validation error""
5. ""Save is rejected / blocked""
","1. ""Current Lesson Count = 10""
2. ""BVA: Exact boundary (same count)""
3. """"
4. ""BVA: Below boundary (lower count)""
5. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Extend daily lesson by End Date - new lessons created in DRAFT status,AC 01.4 - State Transition: Verify all new lessons have DRAFT status and are added to the same recurring chain.,"Admin has created a daily recurring lesson schedule by End Date
- End Date = 2026-03-31
- 5 existing lessons in chain",,,high,blocker,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Extend Recurrence End Date to 2026-04-15""
3. ""Save the form""
4. ""Check status of all newly created lessons""
5. ""Verify lessons are in the same recurring chain""
","1. ""Lesson Creation Form opens""
2. ""Date accepted""
3. ""New lessons are created""
4. ""All new lessons have DRAFT status""
5. ""New lessons appear in the same Lesson Schedule as existing lessons""
","1. """"
2. ""New End Date = 2026-04-15""
3. """"
4. ""Expected status = DRAFT for all new lessons""
5. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Extend weekly lesson by End Date - new lessons created in DRAFT status,AC 01.4 - State Transition: Verify for weekly recurrence type.,"Admin has created a weekly recurring lesson schedule by End Date
- End Date = 2026-03-31
- Existing lessons in chain",,,high,blocker,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Extend Recurrence End Date to 2026-04-30""
3. ""Save the form""
4. ""Check status of all newly created lessons""
5. ""Verify lesson dates follow weekly pattern""
","1. ""Lesson Creation Form opens""
2. ""Date accepted""
3. ""New lessons are created""
4. ""All new lessons have DRAFT status""
5. ""Lesson dates are 7 days apart following the weekly recurrence""
","1. """"
2. ""New End Date = 2026-04-30""
3. """"
4. ""Expected status = DRAFT""
5. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Extend custom lesson by End Date - new lessons created in DRAFT status,AC 01.4 - State Transition: Verify for custom recurrence type with specific days.,"Admin has created a custom recurring lesson schedule by End Date
- Recurrence Days = Monday, Wednesday, Friday
- End Date = 2026-03-31",,,high,blocker,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Extend Recurrence End Date to 2026-04-30""
3. ""Save the form""
4. ""Check status of all newly created lessons""
5. ""Verify lesson dates follow custom pattern (Mon, Wed, Fri)""
","1. ""Lesson Creation Form opens""
2. ""Date accepted""
3. ""New lessons are created""
4. ""All new lessons have DRAFT status""
5. ""Lesson dates fall only on Monday, Wednesday, Friday""
","1. """"
2. ""New End Date = 2026-04-30""
3. """"
4. ""Expected status = DRAFT""
5. ""Recurrence Days = Mon, Wed, Fri""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Extend daily lesson by Lesson Count - new lessons created in DRAFT status,AC 01.4 - State Transition: Verify new lessons via Lesson Count path.,"Admin has created a daily recurring lesson schedule by Lesson Count
- Current Lesson Count = 10",,,high,blocker,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Increase Lesson Count to 15""
3. ""Save the form""
4. ""Check total number of lessons in the chain""
5. ""Check status of all newly created lessons""
","1. ""Lesson Creation Form opens""
2. ""Value accepted""
3. ""New lessons are created""
4. ""Total lessons in chain = 15""
5. ""All 5 new lessons have DRAFT status""
","1. """"
2. ""New Lesson Count = 15 (was 10, +5)""
3. """"
4. ""Expected total = 15""
5. ""Expected 5 new DRAFT lessons""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Extend weekly lesson by Lesson Count - new lessons created in DRAFT status,AC 01.4 - State Transition: Verify for weekly recurrence via Lesson Count.,"Admin has created a weekly recurring lesson schedule by Lesson Count
- Current Lesson Count = 8",,,high,blocker,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Increase Lesson Count to 12""
3. ""Save the form""
4. ""Check total number of lessons""
5. ""Check status of new lessons""
","1. ""Lesson Creation Form opens""
2. ""Value accepted""
3. ""New lessons are created""
4. ""Total lessons = 12""
5. ""All 4 new lessons have DRAFT status""
","1. """"
2. ""New Lesson Count = 12 (was 8, +4)""
3. """"
4. ""Expected total = 12""
5. ""Expected 4 new DRAFT lessons""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Extend custom lesson by Lesson Count - new lessons created in DRAFT status,AC 01.4 - State Transition: Verify for custom recurrence via Lesson Count.,"Admin has created a custom recurring lesson schedule by Lesson Count
- Recurrence Days = Tuesday, Thursday
- Current Lesson Count = 6",,,high,blocker,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Increase Lesson Count to 10""
3. ""Save the form""
4. ""Check total lessons and verify dates follow custom pattern""
5. ""Check status of new lessons""
","1. ""Lesson Creation Form opens""
2. ""Value accepted""
3. ""New lessons are created""
4. ""Total = 10, new lesson dates fall on Tuesday and Thursday only""
5. ""All 4 new lessons have DRAFT status""
","1. """"
2. ""New Lesson Count = 10 (was 6, +4)""
3. """"
4. ""Recurrence Days = Tue, Thu""
5. ""Expected 4 new DRAFT lessons""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Skip date with existing manually added lesson during extension,AC 01.4 - Decision Table + Data Integrity: New lessons must NOT be created on dates that have manually added lessons.,"Admin has created a daily recurring lesson schedule by End Date (End Date = 2026-03-20)
Admin has manually added a lesson on 2026-03-25 via ""Add Lesson"" flow",,,high,blocker,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Extend Recurrence End Date to 2026-03-31""
3. ""Save the form""
4. ""Check if a lesson is created on 2026-03-25""
5. ""Check manually added lesson on 2026-03-25""
6. ""Count total new lessons created""
","1. ""Lesson Creation Form opens""
2. ""Date accepted""
3. ""New lessons are created""
4. ""No new lesson created on 2026-03-25 (skipped)""
5. ""Manually added lesson is unchanged""
6. ""Total new lessons = expected count minus 1 (the skipped date)""
","1. """"
2. ""New End Date = 2026-03-31""
3. """"
4. ""Conflict date = 2026-03-25 (manual lesson exists)""
5. """"
6. ""Expected: total - 1 due to skip""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Skip consecutive dates with multiple manually added lessons during extension,"AC 01.4 - Decision Table: Multiple manual lessons on different dates within extension range, all must be skipped.","Admin has created a weekly recurring lesson schedule by End Date (End Date = 2026-03-20)
Admin has manually added lessons on 2026-03-25 and 2026-04-01 via ""Add Lesson"" flow",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Extend Recurrence End Date to 2026-04-15""
3. ""Save the form""
4. ""Check lessons on 2026-03-25 and 2026-04-01""
5. ""Count total new lessons created""
","1. ""Lesson Creation Form opens""
2. ""Date accepted""
3. ""New lessons are created""
4. ""No new lessons on 2026-03-25 and 2026-04-01 (both skipped), manual lessons unchanged""
5. ""Total new lessons = expected count minus 2""
","1. """"
2. ""New End Date = 2026-04-15""
3. """"
4. ""Conflict dates = 2026-03-25, 2026-04-01""
5. ""Expected: total - 2 due to skips""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Lesson code auto-incremented correctly for extended lessons,AC 01.4 - BVA + CRUD: Verify lesson code is auto-calculated based on the code defined in the extension form.,"Admin has created a recurring lesson schedule
- Last existing lesson code = 5
- Extension will create 3 new lessons",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Verify Lesson Code = 6 (last + 1)""
3. ""Extend to create 3 new lessons""
4. ""Save the form""
5. ""Check lesson codes of all 3 new lessons""
","1. ""Lesson Creation Form opens""
2. ""Lesson Code = 6""
3. ""Settings accepted""
4. ""New lessons created""
5. ""Lesson codes = 6, 7, 8 (auto-incremented from defined code)""
","1. """"
2. ""Last existing code = 5, Expected form code = 6""
3. """"
4. """"
5. ""Expected: 6, 7, 8""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Extended lessons have no teacher and no student allocated,AC 01.4 - Negative Testing: Newly created lessons must not auto-inherit teacher/student from existing lessons.,"Admin has created a recurring lesson schedule
- Existing lessons have Teacher A and Student B assigned
- Extension creates new lessons",,,medium,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Extend and save""
3. ""Open each newly created lesson detail""
4. ""Check Lesson Teacher section""
5. ""Check Student Sessions section""
6. ""Verify existing lessons still have Teacher A and Student B""
","1. ""Lesson Creation Form opens""
2. ""New lessons created""
3. ""Lesson detail pages open""
4. ""No teacher assigned to new lessons""
5. ""No student assigned to new lessons""
6. ""Existing lessons still have Teacher A and Student B""
","1. """"
2. """"
3. """"
4. ""Expected: empty teacher list""
5. ""Expected: empty student list""
6. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Extended lessons respect Skip Closed Dates setting from original schedule,"AC 01.4 - Regression: When Skip Closed Dates = checked, no extended lesson should be created on a closed date.","Admin has created a recurring lesson schedule with Skip Closed Dates = checked
- A closed date (e.g., 2026-04-10) falls within the extension date range",,,medium,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Verify Skip Closed Dates shows ""checked"" (non-editable)""
3. ""Extend End Date to cover range including 2026-04-10""
4. ""Save the form""
5. ""Check if any lesson is created on 2026-04-10""
","1. ""Lesson Creation Form opens""
2. ""Skip Closed Dates = checked, non-editable""
3. ""Date accepted""
4. ""New lessons created""
5. ""No lesson exists on 2026-04-10 (closed date skipped)""
","1. """"
2. ""Source: Lesson Schedule, Skip Closed Dates = checked""
3. ""Closed date = 2026-04-10""
4. """"
5. ""Expected: no lesson on closed date""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Nichibei: Syllabus description updated for extended lessons based on lesson code,AC 01.4 - CRUD + Regression (Nichibei only): Syllabus description auto-filled for new lessons based on lesson code mapping.,"Nichibei tenant configuration
Syllabus master associated to course master with syllabus details:
- Code 6 → Description A
- Code 7 → Description B
- Code 8 → Description C
Recurring lesson schedule created, last lesson code = 5",,,medium,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Extend to create 3 new lessons (codes 6, 7, 8)""
3. ""Save the form""
4. ""Check syllabus description of lesson code 6""
5. ""Check syllabus description of lesson code 7""
6. ""Check syllabus description of lesson code 8""
","1. ""Lesson Creation Form opens""
2. ""Settings accepted""
3. ""New lessons created""
4. ""Syllabus description = Description A""
5. ""Syllabus description = Description B""
6. ""Syllabus description = Description C""
","1. """"
2. ""lesson codes = 6, 7, 8""
3. """"
4. ""Code 6 → Description A""
5. ""Code 7 → Description B""
6. ""Code 8 → Description C""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Verify Lesson Schedule End Date updated on SF and BO after extending by End Date,AC 01.5 - Cross-system: End Date must update on all 5 surfaces after extending by End Date.,"Admin has created a daily recurring lesson schedule by End Date
- Current End Date = 2026-03-31
- Extension End Date = 2026-04-30",,,high,blocker,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Extend Recurrence End Date to 2026-04-30 and save""
2. ""Check SF - Lesson Schedule detail page""
3. ""Check SF - Lesson edit form""
4. ""Check SF - Lesson Calendar Related list""
5. ""Login BO, check Lesson detail - Recurring settings""
6. ""Check BO - Calendar Related list""
","1. ""New lessons created successfully""
2. ""End Date = 2026-04-30""
3. ""End Date = 2026-04-30""
4. ""Lessons visible up to 2026-04-30""
5. ""Recurring settings show End Date = 2026-04-30""
6. ""Lessons visible up to 2026-04-30""
","1. ""New End Date = 2026-04-30""
2. ""SF Lesson Schedule detail""
3. ""SF Lesson edit form""
4. ""SF Calendar""
5. ""BO Lesson detail""
6. ""BO Calendar""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Verify Lesson Schedule End Date updated on SF and BO after extending by Lesson Count,AC 01.5 - Cross-system: End Date derived from last lesson date must update on all 5 surfaces after extending by Lesson Count.,"Admin has created a daily recurring lesson schedule by Lesson Count
- Current Lesson Count = 10
- Extension to Lesson Count = 15",,,high,blocker,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Extend Lesson Count to 15 and save""
2. ""Identify the last lesson date in the chain (e.g., 2026-04-20)""
3. ""Check SF - Lesson Schedule detail page""
4. ""Check SF - Lesson edit form""
5. ""Check SF - Lesson Calendar Related list""
6. ""Login BO, check Lesson detail - Recurring settings and Calendar Related list""
","1. ""New lessons created successfully""
2. ""Last lesson date determined (e.g., 2026-04-20)""
3. ""End Date = last lesson date (2026-04-20)""
4. ""End Date = last lesson date""
5. ""Lessons visible up to last lesson date""
6. ""End Date and Calendar reflect last lesson date""
","1. ""New Lesson Count = 15 (was 10)""
2. """"
3. ""SF Lesson Schedule detail""
4. ""SF Lesson edit form""
5. ""SF Calendar""
6. ""BO Lesson detail + Calendar""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,"Edit recurring lesson with ""Apply this and the following"" updates extended lessons",AC 02.1 - State Transition + Regression: Editing from a lesson BEFORE the extension point must update all extended lessons.,"Admin has created a daily recurring lesson schedule with 5 original lessons
Extended by End Date creating 3 new lessons (total 8)
All lessons are in DRAFT or Published status",,,high,blocker,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open the 3rd lesson (before extension point)""
2. ""Click Edit, change lesson name to ""Updated Lesson"", change classroom to ""Room B""""
3. ""Select ""Apply this and the following""""
4. ""Save""
5. ""Check lessons 3-5 (original chain after edit)""
6. ""Check lessons 6-8 (extended lessons)""
7. ""Check lessons 1-2 (before edit point)""
","1. ""Lesson detail opens""
2. ""Fields updated""
3. ""Recurring update option selected""
4. ""Save successful""
5. ""Lessons 3-5: name = ""Updated Lesson"", classroom = ""Room B""""
6. ""Lessons 6-8 (extended): name = ""Updated Lesson"", classroom = ""Room B""""
7. ""Lessons 1-2: unchanged (original values)""
","1. """"
2. ""Lesson name = ""Updated Lesson"", Classroom = ""Room B""""
3. """"
4. """"
5. ""Verify original chain updated""
6. ""Verify extended chain updated""
7. ""Verify previous lessons not affected""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,"Edit at original/extended boundary with ""Apply this and the following"" updates all extended lessons",AC 02.1 - State Transition: Edit the LAST lesson of the original chain and verify all extended lessons are updated.,"Admin has created a daily recurring lesson schedule with 5 original lessons
Extended by End Date creating 3 new lessons (total 8)",,,high,blocker,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open the 5th lesson (last of original chain / boundary)""
2. ""Click Edit, change lesson time to 14:00-15:00""
3. ""Select ""Apply this and the following""""
4. ""Save""
5. ""Check lesson 5""
6. ""Check lessons 6-8 (extended lessons)""
7. ""Check lessons 1-4 (before boundary)""
","1. ""Lesson detail opens""
2. ""Time updated""
3. ""Recurring update option selected""
4. ""Save successful""
5. ""Lesson 5: time = 14:00-15:00""
6. ""Lessons 6-8: time = 14:00-15:00""
7. ""Lessons 1-4: original time unchanged""
","1. ""Boundary lesson (last original)""
2. ""New time = 14:00-15:00""
3. """"
4. """"
5. """"
6. ""Verify extended chain updated""
7. ""Verify previous chain not affected""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
